month,Entertainment,Food & Drink,Health & Fitness,Rent,Salary,Shopping,Travel,Utilities,total_expense,rolling_3m_expense,expense_mom_change,spending_volatility
2020-01,1914.85,5458.51,2370.34,3663.22,1077.09,1178.6599999999999,0.0,1475.58,17138.25,,,
2020-02,3199.5200000000004,1829.57,766.81,1222.17,294.31,1499.79,7272.28,1023.96,17108.41,,-0.001741134596589533,
2020-03,1887.0500000000002,1353.18,881.82,6241.21,0.0,1929.08,486.51,802.96,13581.810000000001,15942.823333333334,-0.20613253949373433,0.1282553232202482
2020-04,3821.84,1938.3,1603.18,0.0,2222.6,388.92,3195.04,3063.17,16233.050000000001,15641.090000000002,0.19520520460822222,0.11740302940522711
2020-05,0.0,2501.62,2893.98,3822.55,318.05,1318.17,4288.25,1703.51,16846.13,15553.663333333336,0.03776739429743636,0.11154735552097414
2020-06,4092.44,426.29999999999995,4901.3099999999995,1547.8,1107.84,2611.1800000000003,990.97,5002.88,20680.719999999998,17919.966666666667,0.2276243861349756,0.13451216336329672
2020-07,4853.639999999999,1786.39,3031.75,3919.73,109.93,2158.3599999999997,5355.49,2810.9799999999996,24026.27,20517.706666666665,0.16177144702892376,0.1751094651786961
2020-08,2473.45,5614.45,2812.6499999999996,2853.7200000000003,1409.98,6623.78,6221.360000000001,3377.41,31386.8,25364.596666666665,0.30635342065164495,0.21593394089628568
2020-09,393.15,2596.78,214.32999999999998,5778.35,5906.79,799.34,4846.1900000000005,980.22,21515.15,25642.74,-0.314515974868416,0.20007638752813622
2020-10,2709.63,512.43,710.1,6446.6900000000005,3825.62,1834.28,4522.66,1601.58,22162.990000000005,25021.646666666667,0.030110875359921074,0.2206846531056608
2020-11,4668.52,5533.71,240.68,128.68,4325.76,2262.87,5142.82,4432.12,26735.16,23471.100000000002,0.20629752573998328,0.12122386446036519
2020-12,1961.74,2090.83,0.0,2597.93,4878.16,7110.52,6834.92,2884.02,28358.12,25752.09,0.06070507900457667,0.12474457356144247
2021-01,1067.02,2548.4300000000003,2979.62,0.0,518.1,2264.36,4531.31,1908.27,15817.11,23636.796666666665,-0.4422370030171252,0.28855403184552847
2021-02,0.0,1242.9,4299.46,1564.56,2176.17,6305.69,3553.04,783.41,19925.23,21366.819999999996,0.25972633433035486,0.29922938067187543
2021-03,5568.39,2107.84,4694.9,5685.13,299.85,2213.15,1834.3899999999999,3819.59,26223.24,20655.193333333333,0.31608217320452514,0.2537535241033247
2021-04,1114.48,1831.3000000000002,2839.02,4027.5499999999997,1058.6,5399.77,3555.2799999999997,3271.71,23097.71,23082.059999999998,-0.11918931451643666,0.13642777839232553
2021-05,2532.36,1783.0500000000002,3539.19,5961.44,3548.43,1421.9,1757.39,3237.02,23780.780000000002,24367.243333333332,0.02957306157190498,0.06743582448943226
2021-06,1150.87,3735.41,3639.4700000000003,3608.04,1982.06,1665.5100000000002,0.0,6356.2699999999995,22137.63,23005.373333333333,-0.06909571511111079,0.03588107232601695
2021-07,2717.95,0.0,0.0,3730.75,5450.17,1550.53,904.15,4768.82,19122.37,21680.26,-0.13620518546926663,0.10897673491341521
2021-08,2352.08,4474.030000000001,2049.05,0.0,1930.19,2345.02,1288.09,135.57,14574.03,18611.343333333334,-0.23785440821404458,0.20458529569473224
2021-09,0.0,1373.47,1781.35,3661.1,1918.8000000000002,2173.86,2111.01,4065.17,17084.760000000002,16927.053333333333,0.17227424398056002,0.1345932715036078
2021-10,1582.84,0.0,1339.0,3135.26,1901.48,0.0,1783.75,2817.24,12559.57,14739.453333333333,-0.26486705110285436,0.15381343100291264
2021-11,698.59,171.63,3903.01,1010.12,934.24,1841.9299999999998,3595.92,2169.9300000000003,14325.37,14656.566666666668,0.1405939853036371,0.15560961155191264
2021-12,0.0,0.0,2598.07,1044.8700000000001,2568.47,504.06,1652.37,1628.82,9996.66,12293.866666666667,-0.30217090378817446,0.17704377870204013
2022-01,3376.84,4504.78,2329.64,0.0,4210.77,2110.01,2415.56,1885.01,20832.61,15051.546666666667,1.083957041651912,0.36237815455629924
2022-02,1772.0,3644.12,1909.67,2064.83,1601.03,3370.6,5453.08,227.36,20042.690000000002,16957.32,-0.03791747649478383,0.3562492991776818
2022-03,4495.27,4474.02,1002.9499999999999,1863.42,6426.04,3091.11,4605.0199999999995,1778.3600000000001,27736.190000000002,22870.49666666667,0.38385566009353034,0.18505428120034056
2022-04,1633.41,4659.44,1959.3000000000002,0.0,3090.8,3807.0699999999997,0.0,6294.99,21445.010000000002,23074.630000000005,-0.22682206892871726,0.17757452587372966
2022-05,7947.1,2292.74,2106.02,4417.43,5699.93,5346.29,767.52,2767.02,31344.050000000003,26841.75,0.46160109041683817,0.1866408487571391
